session_id,participant_id,visit_no,interval_from_first_days,device_id,camera_model,app_version,resolution,target_fps,distance_cm,light_lux,room_condition,glasses,human_subject_data
P001-S1,P001,1,0,PI-CAM-01,Raspberry Pi Camera Module 3,pibefast-demo-v1,1280x720,15,62.1,505,indoor_controlled_simulated,none,true
P001-S2,P001,2,7,PI-CAM-01,Raspberry Pi Camera Module 3,pibefast-demo-v1,1280x720,15,58.5,560,indoor_controlled_simulated,none,true
P001-S3,P001,3,14,PI-CAM-01,Raspberry Pi Camera Module 3,pibefast-demo-v1,1280x720,15,63.8,338,indoor_controlled_simulated,none,true
P001-S4,P001,4,21,PI-CAM-01,Raspberry Pi Camera Module 3,pibefast-demo-v1,1280x720,15,62.5,430,indoor_controlled_simulated,none,true
P001-S5,P001,5,28,PI-CAM-01,Raspberry Pi Camera Module 3,pibefast-demo-v1,1280x720,15,59.8,474,indoor_controlled_simulated,none,true
P002-S1,P002,1,1,PI-CAM-01,Raspberry Pi Camera Module 3,pibefast-demo-v1,1280x720,15,56.3,543,indoor_controlled_simulated,none,true
P002-S2,P002,2,8,PI-CAM-01,Raspberry Pi Camera Module 3,pibefast-demo-v1,1280x720,15,60.2,435,indoor_controlled_simulated,none,true
P002-S3,P002,3,15,PI-CAM-01,Raspberry Pi Camera Module 3,pibefast-demo-v1,1280x720,15,66.9,435,indoor_controlled_simulated,none,true
P002-S4,P002,4,22,PI-CAM-01,Raspberry Pi Camera Module 3,pibefast-demo-v1,1280x720,15,58.7,445,indoor_controlled_simulated,none,true
P002-S5,P002,5,29,PI-CAM-01,Raspberry Pi Camera Module 3,pibefast-demo-v1,1280x720,15,57.9,551,indoor_controlled_simulated,none,true
P003-S1,P003,1,2,PI-CAM-01,Raspberry Pi Camera Module 3,pibefast-demo-v1,1280x720,15,54,411,indoor_controlled_simulated,none,true
P003-S2,P003,2,9,PI-CAM-01,Raspberry Pi Camera Module 3,pibefast-demo-v1,1280x720,15,62.4,248,indoor_controlled_simulated,none,true
P003-S3,P003,3,16,PI-CAM-01,Raspberry Pi Camera Module 3,pibefast-demo-v1,1280x720,15,58.2,470,indoor_controlled_simulated,none,true
P003-S4,P003,4,23,PI-CAM-01,Raspberry Pi Camera Module 3,pibefast-demo-v1,1280x720,15,62.1,517,indoor_controlled_simulated,none,true
P003-S5,P003,5,30,PI-CAM-01,Raspberry Pi Camera Module 3,pibefast-demo-v1,1280x720,15,65.6,345,indoor_controlled_simulated,none,true
P004-S1,P004,1,3,PI-CAM-01,Raspberry Pi Camera Module 3,pibefast-demo-v1,1280x720,15,68.1,505,indoor_controlled_simulated,habitual_clear,true
P004-S2,P004,2,10,PI-CAM-01,Raspberry Pi Camera Module 3,pibefast-demo-v1,1280x720,15,62.6,374,indoor_controlled_simulated,habitual_clear,true
P004-S3,P004,3,17,PI-CAM-01,Raspberry Pi Camera Module 3,pibefast-demo-v1,1280x720,15,57,232,indoor_controlled_simulated,habitual_clear,true
P004-S4,P004,4,24,PI-CAM-01,Raspberry Pi Camera Module 3,pibefast-demo-v1,1280x720,15,63.2,352,indoor_controlled_simulated,habitual_clear,true
P004-S5,P004,5,31,PI-CAM-01,Raspberry Pi Camera Module 3,pibefast-demo-v1,1280x720,15,60.3,375,indoor_controlled_simulated,habitual_clear,true
P005-S1,P005,1,4,PI-CAM-01,Raspberry Pi Camera Module 3,pibefast-demo-v1,1280x720,15,54.6,511,indoor_controlled_simulated,none,true
P005-S2,P005,2,11,PI-CAM-01,Raspberry Pi Camera Module 3,pibefast-demo-v1,1280x720,15,61.3,419,indoor_controlled_simulated,none,true
P005-S3,P005,3,18,PI-CAM-01,Raspberry Pi Camera Module 3,pibefast-demo-v1,1280x720,15,62.1,441,indoor_controlled_simulated,none,true
P005-S4,P005,4,25,PI-CAM-01,Raspberry Pi Camera Module 3,pibefast-demo-v1,1280x720,15,58.3,372,indoor_controlled_simulated,none,true
P005-S5,P005,5,32,PI-CAM-01,Raspberry Pi Camera Module 3,pibefast-demo-v1,1280x720,15,55.1,435,indoor_controlled_simulated,none,true
P006-S1,P006,1,5,PI-CAM-01,Raspberry Pi Camera Module 3,pibefast-demo-v1,1280x720,15,58.4,376,indoor_controlled_simulated,none,true
P006-S2,P006,2,12,PI-CAM-01,Raspberry Pi Camera Module 3,pibefast-demo-v1,1280x720,15,55.4,357,indoor_controlled_simulated,none,true
P006-S3,P006,3,19,PI-CAM-01,Raspberry Pi Camera Module 3,pibefast-demo-v1,1280x720,15,57.1,398,indoor_controlled_simulated,none,true
P006-S4,P006,4,26,PI-CAM-01,Raspberry Pi Camera Module 3,pibefast-demo-v1,1280x720,15,55.5,291,indoor_controlled_simulated,none,true
P006-S5,P006,5,33,PI-CAM-01,Raspberry Pi Camera Module 3,pibefast-demo-v1,1280x720,15,57.8,287,indoor_controlled_simulated,none,true
P007-S1,P007,1,6,PI-CAM-01,Raspberry Pi Camera Module 3,pibefast-demo-v1,1280x720,15,60.4,304,indoor_controlled_simulated,none,true
P007-S2,P007,2,13,PI-CAM-01,Raspberry Pi Camera Module 3,pibefast-demo-v1,1280x720,15,60.7,564,indoor_controlled_simulated,none,true
P007-S3,P007,3,20,PI-CAM-01,Raspberry Pi Camera Module 3,pibefast-demo-v1,1280x720,15,58.3,384,indoor_controlled_simulated,none,true
P007-S4,P007,4,27,PI-CAM-01,Raspberry Pi Camera Module 3,pibefast-demo-v1,1280x720,15,63.5,306,indoor_controlled_simulated,none,true
