event_id,run_id,network_disconnect_injected,trigger_ms,transport_ms,trigger_to_prompt_ms,event_to_final_ms
run_001-E003,run_001,False,1585.0,870.0,1726.0,7967.0
run_001-E009,run_001,False,1850.0,902.0,1421.0,10393.0
run_002-E002,run_002,False,2618.0,997.0,2179.0,14945.0
run_002-E005,run_002,False,1379.0,333.0,1335.0,13758.0
run_002-E006,run_002,False,1809.0,394.0,1544.0,12394.0
run_002-E007,run_002,False,1507.0,859.0,1372.0,9440.0
run_002-E010,run_002,False,2968.0,179.0,523.0,14158.0
run_002-E012,run_002,False,1976.0,967.0,1359.0,10787.0
run_003-E003,run_003,False,3161.0,785.0,1357.0,16378.0
run_003-E005,run_003,False,1867.0,344.0,1639.0,9309.0
run_003-E010,run_003,False,1764.0,982.0,1483.0,14444.0
run_004-E006,run_004,False,564.0,749.0,1119.0,6657.0
run_004-E009,run_004,False,820.0,275.0,1020.0,9021.0
run_004-E010,run_004,False,858.0,895.0,1312.0,7845.0
run_005-E004,run_005,False,1354.0,319.0,896.0,9301.0
run_005-E007,run_005,False,1004.9999999999999,664.0,1301.0,6708.0
run_005-E010,run_005,False,477.0,549.0,808.0,6101.0
run_005-E012,run_005,False,1248.0,600.0,965.0,7708.0
run_006-E005,run_006,False,525.0,580.0,1627.0,8973.0
run_006-E007,run_006,False,1088.0,78.0,786.0,8016.0
run_006-E010,run_006,False,437.0,283.0,1299.0,7840.0
run_007-E002,run_007,False,783.0,338.0,869.0,8994.0
run_007-E003,run_007,True,1278.0,668722.0,669391.0,674826.0
run_007-E006,run_007,False,1045.0,960.0,1703.0,13137.0
run_007-E007,run_007,False,1111.0,501.0,1541.0,122652.0
run_007-E008,run_007,False,1286.0,508.0,1431.0,12075.0
run_007-E009,run_007,False,1046.0,701.0,1517.0,11704.0
run_007-E010,run_007,False,499.0,638.0,1496.0,11066.0
run_007-E011,run_007,False,1213.0,641.0,1745.0,11137.0
run_007-E012,run_007,False,475.0,383.0,1185.0,8958.0
run_008-E006,run_008,False,1187.0,318.0,1207.0,9976.0
run_008-E012,run_008,False,891.0,886.0,1300.0,10483.0
run_008-E015,run_008,False,491.0,468.0,837.0,6378.0
run_008-E016,run_008,False,1213.0,622.0,1308.0,7864.0
run_008-E018,run_008,False,1253.0,890.0,1552.0,10766.0
