experiment_id,run_id,event_id,participant_id,scenario,ground_truth_event,ground_truth_component,annotation_source,event_start_ts,event_end_ts,pi_online,pc_online,network_disconnect_injected,disconnect_duration_s,trigger_generated,trigger_id,trigger_reason,trigger_created_ts,queue_write_success,queue_recovered_after_restart,transmission_attempts,pc_received_ts,duplicate_trigger_count,guided_check_requested,guided_component,prompt_displayed_ts,repeat_prompt_ts,user_response_ts,no_response_level,guided_check_completed,guided_result_status,guided_result_reason,onset_status,urgency_state,completeness_state,final_state_ts,acknowledged,acknowledged_ts,external_alert_attempted,external_alert_delivery_state,alert_receipt_ts,target_speaker_verified,passive_s_changed_domains,actual_passive_b_fps,actual_passive_s_window_s,trigger_latency_ms,pi_to_pc_latency_ms,prompt_latency_ms,user_response_latency_ms,end_to_end_latency_ms,record_status,notes,source_row
exp_v1_baseline,run_001,run_001-E001,P001,empty_room,false,none,sensor_reference,2026-08-22T09:00:30.000,2026-08-22T09:02:30.327,True,True,False,,False,,,,,,,,0,False,none,,,,none,False,not_applicable,,not_applicable,routine,unknown,2026-08-22T09:02:30.327,False,,False,not_applicable,,,,,,,,,,,,Empty room baseline; no false trigger.,2
exp_v1_baseline,run_001,run_001-E002,P001,normal_sitting,false,B,observer_log,2026-08-22T09:03:20.000,2026-08-22T09:07:20.057,True,True,False,,False,,,,,,,,0,False,none,,,,none,False,not_applicable,,not_applicable,routine,unknown,2026-08-22T09:07:20.057,False,,False,not_applicable,,,,,,,,,,,,Seated interval; no false trigger.,3
exp_v1_baseline,run_001,run_001-E003,P001,normal_walking,false,B,observer_log,2026-08-22T09:08:00.000,2026-08-22T09:09:30.012,True,True,False,,True,run_001-T003,passive_b_posture_change_low,2026-08-22T09:08:01.585,True,,1,2026-08-22T09:08:02.455,0,True,B,2026-08-22T09:08:03.311,,2026-08-22T09:08:06.808,none,True,negative,user_reported_no_symptom_false_trigger,not_applicable,routine,complete,2026-08-22T09:08:07.967,True,2026-08-22T09:08:09.312,False,not_applicable,,,,12.6,,,,,,,,Walking past camera; v0.3 misclassified motion as fall-like posture.,4
exp_v1_baseline,run_001,run_001-E004,P001,normal_sitting,false,B,observer_log,2026-08-22T09:10:20.000,2026-08-22T09:15:20.359,True,True,False,,False,,,,,,,,0,False,none,,,,none,False,not_applicable,,not_applicable,routine,unknown,2026-08-22T09:15:20.359,False,,False,not_applicable,,,,,,,,,,,,Seated interval; no false trigger.,5
exp_v1_baseline,run_001,run_001-E005,P001,quiet_standing,false,B,observer_log,2026-08-22T09:16:20.000,2026-08-22T09:19:20.279,True,True,False,,False,,,,,,,,0,False,none,,,,none,False,not_applicable,,not_applicable,routine,unknown,2026-08-22T09:19:20.279,False,,False,not_applicable,,,,,,,,,,,,Stable standing; no false trigger.,6
exp_v1_baseline,run_001,run_001-E006,P001,simulated_fall,true,B,video_review,2026-08-22T09:20:00.000,2026-08-22T09:21:00.214,True,True,False,,False,,,,,,,,0,False,none,,,,none,False,not_applicable,,not_applicable,routine,unknown,2026-08-22T09:21:00.214,False,,False,not_applicable,,,,,,,,,,,,Observer logged scripted fall; v0.3 confidence below threshold.,7
exp_v1_baseline,run_001,run_001-E007,P001,normal_walking,false,B,observer_log,2026-08-22T09:22:00.000,2026-08-22T09:24:00.112,True,True,False,,False,,,,,,,,0,False,none,,,,none,False,not_applicable,,not_applicable,routine,unknown,2026-08-22T09:24:00.112,False,,False,not_applicable,,,,,,,,,,,,Walking interval; no false trigger.,8
exp_v1_baseline,run_001,run_001-E008,P001,normal_bending,false,B,observer_log,2026-08-22T09:24:40.000,2026-08-22T09:26:10.229,True,True,False,,False,,,,,,,,0,False,none,,,,none,False,not_applicable,,not_applicable,routine,unknown,2026-08-22T09:26:10.229,False,,False,not_applicable,,,,,,,,,,,,Bending recovery; no false trigger.,9
exp_v1_baseline,run_001,run_001-E009,P001,simulated_fall,true,B,video_review,2026-08-22T09:27:00.000,2026-08-22T09:28:00.301,True,True,False,,True,run_001-T009,passive_b_posture_change_low,2026-08-22T09:27:01.850,True,,1,2026-08-22T09:27:02.752,0,True,B,2026-08-22T09:27:03.271,,2026-08-22T09:27:07.762,none,True,positive,user_confirmed_symptom_onset,new,soon,complete,2026-08-22T09:27:10.393,True,2026-08-22T09:27:11.131,False,not_applicable,,,,12.8,,,,,,,,Scripted fall detected; latency budget exceeded.,10
exp_v1_baseline,run_001,run_001-E010,P001,camera_occlusion,false,B,sensor_reference,2026-08-22T09:29:00.000,2026-08-22T09:31:00.176,True,True,False,,False,,,,,,,,0,False,none,,,,none,False,not_applicable,,not_applicable,routine,unknown,2026-08-22T09:31:00.176,False,,False,not_applicable,,,,,,,,,,,,Camera covered; correctly no trigger.,11
exp_v1_baseline,run_001,run_001-E011,P001,empty_room,false,none,sensor_reference,2026-08-22T09:31:40.000,2026-08-22T09:34:40.309,True,True,False,,False,,,,,,,,0,False,none,,,,none,False,not_applicable,,not_applicable,routine,unknown,2026-08-22T09:34:40.309,False,,False,not_applicable,,,,,,,,,,,,Empty room interval; no false trigger.,12
