experiment_id,run_id,sample_ts,elapsed_s,pi_online,pc_online,pi_cpu_pct,pi_ram_used_mb,pi_ram_pct,pi_temperature_c,pi_throttled,pi_undervoltage,pi_power_w,passive_b_actual_fps,passive_s_state,queue_depth,network_connected,ping_latency_ms,packet_loss_pct,pc_cpu_pct,pc_ram_used_mb,process_restart_count,data_loss_observed,notes,source_row
exp_v1_baseline,run_001,2026-08-22T09:00:00.000,0,True,True,48.5,1155,28.2,67.3,False,False,4.4,12.2,listening,0,True,14.3,0,20.3,2454,0,False,,2
exp_v1_baseline,run_001,2026-08-22T09:01:00.000,60,True,True,60.4,1156,28.2,66.7,False,False,4.33,12.3,idle,1,True,16.4,0,8.5,2453,0,False,,3
exp_v1_baseline,run_001,2026-08-22T09:02:00.000,120,True,True,56.2,1160,28.3,69.7,False,False,3.94,14.3,listening,0,True,9.2,0,19.9,2444,0,False,,4
exp_v1_baseline,run_001,2026-08-22T09:03:00.000,180,True,True,65.3,1138,27.8,62.8,False,False,4.09,14.3,idle,0,True,14.1,0,14.5,2453,0,False,,5
exp_v1_baseline,run_001,2026-08-22T09:04:00.000,240,True,True,61.5,1150,28.1,64,False,False,4.32,15.6,listening,0,True,15.2,0,21,2453,0,False,,6
exp_v1_baseline,run_001,2026-08-22T09:05:00.000,300,True,True,62.4,1145,28,67,False,False,4.18,13.5,idle,0,True,15.8,0,19.8,2456,0,False,,7
exp_v1_baseline,run_001,2026-08-22T09:06:00.000,360,True,True,45.9,1147,28,70.3,False,False,3.98,12.1,listening,0,True,7.9,0,20.4,2444,0,False,,8
exp_v1_baseline,run_001,2026-08-22T09:07:00.000,420,True,True,58.8,1155,28.2,70.6,True,False,4.09,10.7,idle,0,True,12.3,0,20.2,2459,0,False,,9
exp_v1_baseline,run_001,2026-08-22T09:08:00.000,480,True,True,90.6,1148,28,71.9,False,False,4.1,13.6,listening,0,True,21.3,0,16.2,2450,0,False,,10
exp_v1_baseline,run_001,2026-08-22T09:09:00.000,540,True,True,83.3,1158,28.3,69.2,False,False,4.38,12.5,listening,0,True,10.3,0,49.2,2460,0,False,,11
exp_v1_baseline,run_001,2026-08-22T09:10:00.000,600,True,True,56.9,1159,28.3,66.9,False,False,4.21,12.7,idle,0,True,10.8,0,17,2458,0,False,,12
exp_v1_baseline,run_001,2026-08-22T09:11:00.000,660,True,True,57.1,1153,28.1,72.1,False,False,4.05,13.3,idle,0,True,17.3,0,16.9,2459,0,False,,13
exp_v1_baseline,run_001,2026-08-22T09:12:00.000,720,True,True,55,1172,28.6,69.3,False,False,4.14,12.5,listening,1,True,6.9,0,12.4,2466,0,False,,14
exp_v1_baseline,run_001,2026-08-22T09:13:00.000,780,True,True,57.8,1177,28.7,71.2,False,False,4.22,14.5,idle,0,True,18,0,13.3,2459,0,False,,15
exp_v1_baseline,run_001,2026-08-22T09:14:00.000,840,True,True,50.4,1153,28.1,70.3,False,False,4.02,13.2,idle,0,True,11.4,0,17.8,2458,0,False,,16
exp_v1_baseline,run_001,2026-08-22T09:15:00.000,900,True,True,58.5,1173,28.6,65.4,False,False,4.29,13.3,idle,0,True,15.2,0,19.4,2450,0,False,,17
exp_v1_baseline,run_001,2026-08-22T09:16:00.000,960,True,True,59.3,1159,28.3,68.9,False,False,4.25,15,idle,0,True,14.6,0,14.7,2458,0,False,,18
exp_v1_baseline,run_001,2026-08-22T09:17:00.000,1020,True,True,54.1,1168,28.5,65.6,False,False,4.21,13.3,listening,0,True,11.4,0,24.7,2458,0,False,,19
exp_v1_baseline,run_001,2026-08-22T09:18:00.000,1080,True,True,61.4,1156,28.2,70.1,False,False,4.35,14.5,idle,0,True,11.9,0,17.2,2460,0,False,,20
exp_v1_baseline,run_001,2026-08-22T09:19:00.000,1140,True,True,61.3,1173,28.6,67.4,False,False,4,14.1,listening,0,True,13.6,0,26.1,2458,0,False,,21
exp_v1_baseline,run_001,2026-08-22T09:20:00.000,1200,True,True,56.1,1167,28.5,66.7,False,False,3.98,13.4,listening,0,True,14.1,0.98,19.9,2451,0,False,,22
exp_v1_baseline,run_001,2026-08-22T09:21:00.000,1260,True,True,57.6,1169,28.5,69.6,False,False,4.48,13.2,idle,0,True,10.1,0,13.5,2459,0,False,,23
exp_v1_baseline,run_001,2026-08-22T09:22:00.000,1320,True,True,54.8,1170,28.6,65.5,False,False,3.95,13.8,listening,0,True,4.2,1.12,20.8,2454,0,False,,24
exp_v1_baseline,run_001,2026-08-22T09:23:00.000,1380,True,True,51.6,1156,28.2,66.7,False,False,4.12,15.2,idle,0,True,8.7,0,15,2462,0,False,,25
exp_v1_baseline,run_001,2026-08-22T09:24:00.000,1440,True,True,44.9,1173,28.6,73.4,False,False,4.05,14,idle,0,True,11.5,0,25.1,2466,0,False,,26
